garuda-gamer 1.1.9-1
garuda-hooks 2.10.2-1
garuda-hotfixes 1.1.2-1
garuda-icons r40.a0891d2-1
garuda-libs 1.4.6-1
garuda-migrations 2.5.2-1
garuda-network-assistant 1.1.3-1
garuda-nvidia-config 2:1.1.6-1
garuda-settings-manager 1.0.4-1
garuda-settings-manager-kcm 1.0.4-1
garuda-setup-assistant 3.1.11-1
garuda-starship-prompt 1.0.3-1
garuda-system-maintenance 2.0.5-2
garuda-update 4.5.1-1
garuda-wallpapers r89.931d2e5-1
garuda-welcome 1.2.10-1
gawk 5.3.0-1
gc 8.2.6-1
gcab 1.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
geoip 1.6.12-2
geoip-database 20240127-1
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.1-2
git 2.43.1-1
glew 2.2.0-6
glew1.10 1.10.0-3
glib-networking 1:2.78.0-1
glib2 2.78.4-1
glibc 2.39-1
glibmm-2.68 2.78.1-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-firmware 45.0-1
gnome-software 45.3-1
gnu-netcat 0.7.1-9
gnuchess 6.2.9-3
gnugo 3.8-7
gnupg 2.4.4-1
gnustep-base 1.29.0-3
gnutls 3.8.3-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
goverlay-git 1.0.r5.g8e421e4-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
granatier 23.08.4-1
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
grub-btrfs 4.13-1
grub-garuda 2.06-2
grub-theme-garuda-dr460nized r4.61172c5-1
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-libav 1.22.9-2
gst-plugin-pipewire 1:1.0.3-1
gst-plugins-bad 1.22.9-2
gst-plugins-bad-libs 1.22.9-2
gst-plugins-base 1.22.9-2
gst-plugins-base-libs 1.22.9-2
gst-plugins-espeak 0.5.0-4
gst-plugins-good 1.22.9-2
gst-plugins-ugly 1.22.9-2
gstreamer 1.22.9-2
gstreamer-meta 1-4
gstreamer-vaapi 1.22.9-2
gtk-update-icon-cache 1:4.12.5-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
gtkspell3 3.0.10-2
guile 3.0.9-1
guiscrcpy 1:2023.1.1-5
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvim 9.1.0080-1
gwe 0.15.6-1
gwenview 23.08.4-3
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hblock 3.4.4-1
hdparm 9.65-1
helvum 0.5.1-1
heroic-games-launcher-bin 2.12.1-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hiredis 1.2.0-2
hostapd 2.10-4
htop 3.3.0-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.379-1
hwinfo 23.2-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i2c-tools 4.3-4
iana-etc 20231228-1
icoextract 0.1.4-3
icoutils 0.32.3-3
icu 74.2-1
iio-sensor-proxy 3.5-2
ijs 0.35-5
imagemagick 7.1.1.27-1
imath 3.1.10-1
imlib2 1.12.2-1
inetutils 2.5-1
iniparser 4.1-4
inotify-tools 4.23.9.0-1
input-devices-support 1.0.2-2
intel-ucode 20231114-2
inxi 3.3.33.1-1
iproute2 6.7.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
irqbalance 1.9.3-2
iso-codes 4.16.0-1
iw 6.7-1
jansson 2.14-2
jasper 4.1.1-1
java-commons-lang 3.14.0-1
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jhead 3.08-1
jre-openjdk 21.0.2.u13-3
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 23.08.4-1
kaccounts-providers 23.08.4-1
kactivities-stats5 5.115.0-1
kactivities5 5.115.0-1
kactivitymanagerd 5.27.10-1
kajongg 23.08.4-1
kamera 23.08.4-1
kapman 23.08.4-1
karchive5 5.115.0-1
kate 23.08.4-1
katomic 23.08.4-1
kauth5 5.115.0-1
kbd 2.6.4-1
kblackbox 23.08.4-1
kblocks 23.08.4-1
kbookmarks5 5.115.0-1
kbounce 23.08.4-1
kbreakout 23.08.4-1
kcalc 23.08.4-1
kcalendarcore5 5.115.0-1
kcmutils5 5.115.0-1
kcodecs5 5.115.0-1
kcolorpicker-qt5 0.3.0-3
kcompletion5 5.115.0-1
kconfig5 5.115.0-1
kconfigwidgets5 5.115.0-1
kcontacts5 5.115.0-1
kcoreaddons5 5.115.0-1
kcrash5 5.115.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 5.27.10-1
kde-games-meta 23.08-1
kde-gtk-config 5.27.10-1
kde-service-menu-reimage 2.5-1.4
kde-servicemenus-komparemenu 0.1-3.4
kde-servicemenus-officeconverter 1-1.4
kde-servicemenus-pdf-encrypt-decrypt 1-1
kde-servicemenus-rootactions 2.9.1-2.4
kde-servicemenus-sendtodesktop 1-1.4
kdeclarative5 5.115.0-1
kdeconnect 23.08.4-2
kdecoration 5.27.10-1
kded5 5.115.0-1
kdegraphics-mobipocket 23.08.4-1
kdegraphics-thumbnailers 23.08.4-1
kdelibs4support 5.115.0-1
kdeplasma-addons 5.27.10-2
kdesu5 5.115.0-1
kdialog 23.08.4-1
kdiamond 23.08.4-1
kdnssd5 5.115.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.3.0-2
kemoticons 5.115.0-1
kernel-modules-hook 0.1.7-2
keyboard-visualizer-git release_4.00.r26.gb50cc50-1.3
keyutils 1.6.3-2
kfilemetadata5 5.115.0-1
kfourinline 23.08.4-1
kget 23.08.4-1
kglobalaccel5 5.115.0-1
kgoldrunner 23.08.4-1
kguiaddons5 5.115.0-1
kholidays5 1:5.115.0-1
khotkeys 5.27.10-1
ki18n5 5.115.1-1
kiconthemes5 5.115.0-1
kidletime5 5.115.0-1
kigo 23.08.4-1
killbots 23.08.4-1
kimageannotator-qt5 0.7.0-2
kimageformats5 5.115.0-1
kinfocenter 5.27.10-1
kinit 5.115.0-1
kio-extras 23.08.4-2
kio-fuse 5.1.0-1
kio-gdrive 23.08.4-1
kio5 5.115.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.115.0-1
kiriki 23.08.4-1
kitemmodels5 5.115.0-1
kitemviews5 5.115.0-1
kjobwidgets5 5.115.0-1
kjumpingcube 23.08.4-1
klickety 23.08.4-1
klines 23.08.4-1
kmahjongg 23.08.4-1
kmenuedit 5.27.10-1
kmines 23.08.4-1
kmod 31-1
knavalbattle 23.08.4-1
knetwalk 23.08.4-1
knewstuff5 5.115.0-1
